1;"DIVVINA BIJU LTDA";MA;"Miss Amora";36.446.123/0002-89;2;;2226451650;financeiro@fashionbiju.com;4;21351051;"EST DO PORTELA";00222;MADUREIRA;"LOJ 214";2021-01-30;11927777;1;;true;1;2;;;2;eb4beff2-7fc7-41b3-b7a4-59f53ac80600;;;1;10478;;;1;290;;
2;"JADE BIJU LTDA";CFJP;"Fashion Biju Loja Cabo Frio Joao Pessoa";396556190001701;7;;2226451650;financeiro@fashionbiju.com;1;28907280;"R JOAO PESSOA";50;ITAJURU;"QUADRA 111 LOTE402";2021-02-19;11879829;1;;true;21;1;;;1;6290a6df-554c-4dc5-97ad-ef0374e20600;4EB82B39-72D1-4869-9112-0B970D116D25;1;1;36750;4EB82B39-72D1-4869-9112-0B970D116D25;1;1;1;;
3;"FLOR BIJU EIRELI ME";FL;"Fashion Biju Shopping Cabo Frio";26.665.559/0001-24;4;;2226451650;financeiro@fashionbiju.com;1;28911320;"R. HENRIQUE TERRA";1700;"PARQUE BURLE";"MEGA LOJA 01";2021-02-19;87270734;1;10038049;true;9;1;;;3;06251bbd-213b-4634-8363-606a0ec60600;AD089DE6-8FB7-4599-B75A-A16814339812;2;2;148691;AD089DE6-8FB7-4599-B75A-A16814339812;2;1;1;;
4;"FASHION BIJU LTDA";CFC;"Fashion Biju Cabo Frio Calcadao";35.755.336/0001-49;1;;2226451650;financeiro@fashionbiju.com;1;21351051;"R ERRICO COELHO";133;CENTRO;"LJ E";2021-02-20;11624480;1;10044150;true;18;1;;;20;dcb7475f-c2d3-4093-af8a-59265ae20600;FD5C1A6C-FF03-4875-BD00-F4E4E7848EEA;1;1;32596;FD5C1A6C-FF03-4875-BD00-F4E4E7848EEA;1;1;1;;
5;"FASHION BIJU LTDA";SNIP;"Shopping Nova Iguaçu Pedreira";35.755.336/0002-20;1;;2226451650;financeiro@fashionbiju.com;9;26260045;"AV ABILIO AUGUSTO TAVORA";1111;"DA LUZ";"LOJA 4096/4108";2021-02-20;11630847;1;;true;19;1;;;18;59a5b405-2654-46d5-ad26-6f8160e20600;FD5C1A6C-FF03-4875-BD00-F4E4E7848EEA;1;1;73214;FD5C1A6C-FF03-4875-BD00-F4E4E7848EEA;1;1;1;;
6;"MIMOS BIJU EIRELI ";CFA;"Fashion Biju Cabo Frio Avenida";25.131.287/0001-10;3;;2226451650;financeiro@fashionbiju.com;1;28907410;"AV TEIXEIRA E SOUZA";71;CENTRO;;2021-02-20;87172503;1;10039432;true;3;1;;;4;fb7eaa24-2934-4d08-8641-478661e20600;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;139537;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;1;;
7;"MIMOS BIJU EIRELI ";SGP;"Fashion Biju Partage";25.131.287/0002-09;3;;2226451650;financeiro@fashionbiju.com;11;24445000;"AV PRESIDENTE KENNEDY";425;CENTRO;"LJ 166/167";2021-02-20;11020321;1;127021;true;4;2;;;5;B090CC8B-2DD8-484C-BF1B-701563E20600;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;103644;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;1;;
8;"MIMOS BIJU EIRELI ";SPI;"Fashion Biju São Pedro 1";25.131.287/0003-81;3;;2226451650;financeiro@fashionbiju.com;2;28941156;"DR ANTONIO ALVES";90;CENTRO;"LJ A1";2021-02-20;11111670;1;7715728;true;7;1;;;6;ee73c0f1-cff8-482b-b756-fe5764e20600;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;60306;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;1;;
9;"MIMOS BIJU EIRELI ";ROI;"Fashion Rio das Ostras 1";25.131.287/0004-62;3;;2226451650;financeiro@fashionbiju.com;13;28893076;"ROD. AMARAL PEIXOTO";4525;CENTRO;;2021-02-20;11120164;1;;true;6;1;;;8;b365d5eb-e2ef-47ed-a049-e7e465e20600;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;36048;A59741D4-848D-4F10-8438-09C053E1FC2E;;1;1;;
10;"MIMOS BIJU EIRELI ";ROII;"Fashion Rio das Ostras 2";25.131.287/0006-24;3;;2226451650;financeiro@fashionbiju.com;13;28893-428;AMENDOEIRAS;10;"NOVO RIO OSTRAS";;2021-02-20;87457796;1;15505;true;25;1;;;9;FC0CC72B-5CEF-4E81-A21E-265D68E20600;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;174172;A59741D4-848D-4F10-8438-09C053E1FC2E;1;1;1;;
